328. E1/E2 	2 / 0	10197,015 ms 9956/191
329. E1/E2 	4 / 0	10145,213 ms 9901/194
330. E1/E2 	14 / 0	10212,0312 ms 9967/195
331. E1/E2 	6 / 0	10087,8266 ms 9847/192
332. E1/E2 	6 / 0	10200,1579 ms 9961/191
333. E1/E2 	6 / 0	10073,3699 ms 9834/191
334. E1/E2 	6 / 0	10201,8542 ms 9960/192
335. E1/E2 	82 / 0	10121,5565 ms 9877/194
336. E1/E2 	6 / 0	10138,3018 ms 9896/192
337. E1/E2 	8 / 0	10165,8496 ms 9925/191
338. E1/E2 	22 / 0	10339,8241 ms 10097/193
339. E1/E2 	2 / 0	10152,2887 ms 9908/194
340. E1/E2 	4 / 0	10265,0236 ms 10023/192
341. E1/E2 	4 / 0	10339,7208 ms 10097/193
342. E1/E2 	2 / 0	10315,7134 ms 10073/193
343. E1/E2 	8 / 0	10220,7912 ms 9980/191
344. E1/E2 	14 / 0	10405,698 ms 10163/192
345. E1/E2 	10 / 0	10201,1659 ms 9959/192
346. E1/E2 	32 / 0	10191,4459 ms 9948/193
347. E1/E2 	8 / 0	10209,3515 ms 9967/193
348. E1/E2 	6 / 0	10272,3056 ms 10031/192
349. E1/E2 	2 / 0	10231,1815 ms 9989/192
350. E1/E2 	4 / 0	10145,7498 ms 9905/192
351. E1/E2 	72 / 0	10266,3385 ms 10022/193
352. E1/E2 	8 / 0	10390,3906 ms 10147/192
353. E1/E2 	6 / 0	10345,4108 ms 10103/192
354. E1/E2 	14 / 0	10220,432 ms 9979/191
355. E1/E2 	8 / 0	10203,1277 ms 9962/191
356. E1/E2 	25 / 0	10120,7949 ms 9881/190
357. E1/E2 	6 / 0	10162,2796 ms 9922/192
358. E1/E2 	0 / 0	10280,9274 ms 10036/195
	FullTime = 8411691,6515 ms 
