389. E1/E2 	300 / 0	10898,6635 ms 10631/210
390. E1/E2 	476 / 1	10829,6251 ms 10533/212
391. E1/E2 	616 / 0	11327,0356 ms 11046/218
392. E1/E2 	526 / 0	11545,5459 ms 11258/223
393. E1/E2 	589 / 0	10725,5958 ms 10456/207
394. E1/E2 	460 / 1	10928,4228 ms 10628/214
395. E1/E2 	299 / 0	10790,6846 ms 10523/210
396. E1/E2 	465 / 0	10835,2346 ms 10567/208
397. E1/E2 	421 / 2	11014,2736 ms 10694/215
398. E1/E2 	577 / 1	10815,2112 ms 10522/208
399. E1/E2 	788 / 1	10956,2727 ms 10652/210
400. E1/E2 	389 / 0	11187,6762 ms 10912/214
401. E1/E2 	413 / 0	11260,2299 ms 10977/222
402. E1/E2 	371 / 1	11525,2296 ms 11208/230
403. E1/E2 	459 / 0	11211,6842 ms 10934/216
404. E1/E2 	475 / 0	10885,5509 ms 10614/211
405. E1/E2 	556 / 0	10945,0114 ms 10672/211
406. E1/E2 	568 / 3	11533,0929 ms 11171/225
407. E1/E2 	555 / 0	11530,9732 ms 11241/226
408. E1/E2 	494 / 2	11387,7274 ms 10957/219
409. E1/E2 	339 / 0	10967,2044 ms 10695/212
410. E1/E2 	403 / 1	11387,9708 ms 11076/222
411. E1/E2 	316 / 0	10735,8186 ms 10468/210
412. E1/E2 	360 / 1	10817,4557 ms 10522/213
413. E1/E2 	608 / 1	11277,5091 ms 10919/220
414. E1/E2 	350 / 1	10936,4889 ms 10589/211
415. E1/E2 	293 / 0	11155,4688 ms 10882/215
416. E1/E2 	499 / 0	12832,5693 ms 12517/247
417. E1/E2 	585 / 2	11248,0338 ms 10915/220
418. E1/E2 	542 / 0	11439,0301 ms 11153/222
419. E1/E2 	359 / 1	11106,9253 ms 10804/221
420. E1/E2 	407 / 1	11556,4052 ms 11197/224
421. E1/E2 	602 / 0	10880,5125 ms 10607/211
422. E1/E2 	777 / 0	11141,8786 ms 10862/214
423. E1/E2 	325 / 0	10987,9835 ms 10719/211
424. E1/E2 	333 / 0	11109,4843 ms 10835/214
425. E1/E2 	374 / 1	10790,6984 ms 10494/216
426. E1/E2 	305 / 0	11064,7564 ms 10790/216
427. E1/E2 	490 / 1	11541,6473 ms 11176/225
428. E1/E2 	422 / 0	11351,8461 ms 11070/219
429. E1/E2 	411 / 0	10970,6394 ms 10698/212
430. E1/E2 	294 / 0	10922,0315 ms 10656/208
431. E1/E2 	335 / 1	11362,9763 ms 11058/222
432. E1/E2 	334 / 0	12289,116 ms 11985/240
433. E1/E2 	270 / 0	11599,97 ms 11311/228
434. E1/E2 	285 / 1	11164,5201 ms 10815/216
435. E1/E2 	493 / 0	11384,3441 ms 11099/221
436. E1/E2 	340 / 0	11309,3713 ms 11030/218
437. E1/E2 	600 / 0	11227,2782 ms 10947/217
438. E1/E2 	479 / 0	11321,2315 ms 11040/219
439. E1/E2 	344 / 1	11460,6852 ms 11153/220
440. E1/E2 	358 / 0	11566,9127 ms 11282/223
441. E1/E2 	585 / 0	10912,9836 ms 10637/214
442. E1/E2 	391 / 1	10889,6653 ms 10588/213
443. E1/E2 	343 / 0	11041,7439 ms 10768/214
444. E1/E2 	303 / 0	11578,0272 ms 11295/222
445. E1/E2 	284 / 0	11301,0185 ms 11024/218
446. E1/E2 	360 / 0	11292,2799 ms 11010/220
447. E1/E2 	458 / 1	11203,3195 ms 10899/219
448. E1/E2 	245 / 0	10874,9644 ms 10605/213
449. E1/E2 	446 / 0	10990,3969 ms 10715/216
450. E1/E2 	282 / 1	10959,3567 ms 10663/215
451. E1/E2 	517 / 0	10950,3366 ms 10676/213
452. E1/E2 	263 / 0	10996,9915 ms 10728/212
453. E1/E2 	284 / 0	10872,0074 ms 10603/211
454. E1/E2 	219 / 0	10997,8739 ms 10729/212
455. E1/E2 	379 / 1	11036,4877 ms 10688/217
456. E1/E2 	466 / 0	10893,6195 ms 10622/212
457. E1/E2 	367 / 1	11094,9008 ms 10794/218
458. E1/E2 	622 / 0	11049,3659 ms 10773/212
