151. E1/E2 	115 / 0	6275,8235 ms 2336/3886	P: 0,1112-0,1161-0,3536
152. E1/E2 	153 / 0	6352,6365 ms 2350/3934	P: 0,1112-0,1161-0,3536
153. E1/E2 	204 / 0	6300,3872 ms 2326/3886	P: 0,1112-0,1161-0,3536
154. E1/E2 	172 / 0	6575,1868 ms 2389/4108	P: 0,1112-0,1161-0,3536
155. E1/E2 	220 / 0	6384,6511 ms 2334/3950	P: 0,1112-0,1161-0,3536
156. E1/E2 	188 / 0	6301,321 ms 2338/3877	P: 0,1112-0,1161-0,3536
157. E1/E2 	157 / 0	6316,4659 ms 2350/3894	P: 0,1112-0,1161-0,3536
158. E1/E2 	161 / 1	6285,1605 ms 2332/3848	P: 0,1112-0,1161-0,3536
159. E1/E2 	140 / 0	6289,4209 ms 2340/3885	P: 0,1112-0,1161-0,3536
160. E1/E2 	185 / 0	6256,009 ms 2320/3857	P: 0,1112-0,1161-0,3536
161. E1/E2 	177 / 0	6371,1765 ms 2325/3969	P: 0,1112-0,1161-0,3536
162. E1/E2 	149 / 0	6324,9379 ms 2341/3917	P: 0,1112-0,1161-0,3536
163. E1/E2 	139 / 0	6295,1565 ms 2339/3896	P: 0,1112-0,1161-0,3536
164. E1/E2 	153 / 0	6201,9624 ms 2355/3777	P: 0,1112-0,1161-0,3536
165. E1/E2 	160 / 0	6290,0553 ms 2339/3882	P: 0,1112-0,1161-0,3536
166. E1/E2 	141 / 0	6358,2504 ms 2341/3952	P: 0,1112-0,1161-0,3536
167. E1/E2 	144 / 0	6345,9451 ms 2337/3943	P: 0,1112-0,1161-0,3536
168. E1/E2 	150 / 0	6282,1795 ms 2337/3878	P: 0,1112-0,1161-0,3536
169. E1/E2 	132 / 0	6289,2406 ms 2338/3893	P: 0,1112-0,1161-0,3536
170. E1/E2 	111 / 0	6249,3513 ms 2338/3860	P: 0,1112-0,1161-0,3536
171. E1/E2 	137 / 0	6262,5639 ms 2337/3863	P: 0,1112-0,1161-0,3536
172. E1/E2 	140 / 0	6258,9743 ms 2328/3868	P: 0,1112-0,1161-0,3536
173. E1/E2 	105 / 0	6290,6423 ms 2347/3890	P: 0,1112-0,1161-0,3536
174. E1/E2 	118 / 0	6240,4295 ms 2333/3853	P: 0,1112-0,1161-0,3536
175. E1/E2 	98 / 0	6238,9498 ms 2315/3879	P: 0,1112-0,1161-0,3536
176. E1/E2 	146 / 0	6323,7135 ms 2337/3920	P: 0,1112-0,1161-0,3536
177. E1/E2 	125 / 0	6353,4553 ms 2330/3966	P: 0,1112-0,1161-0,3536
178. E1/E2 	128 / 1	6380,3433 ms 2327/3960	P: 0,1112-0,1161-0,3536
179. E1/E2 	122 / 0	6198,3506 ms 2329/3812	P: 0,1112-0,1161-0,3536
180. E1/E2 	130 / 0	6216,12 ms 2320/3836	P: 0,1112-0,1161-0,3536
181. E1/E2 	152 / 0	6326,5227 ms 2332/3925	P: 0,1112-0,1161-0,3536
182. E1/E2 	117 / 0	6278,0683 ms 2339/3886	P: 0,1112-0,1161-0,3536
183. E1/E2 	120 / 0	6187,777 ms 2358/3773	P: 0,1112-0,1161-0,3536
184. E1/E2 	110 / 0	6197,3756 ms 2325/3821	P: 0,1112-0,1161-0,3536
185. E1/E2 	106 / 0	6396,1875 ms 2344/4003	P: 0,1112-0,1161-0,3536
186. E1/E2 	133 / 0	6389,3755 ms 2310/4015	P: 0,1112-0,1161-0,3536
187. E1/E2 	94 / 0	6228,5049 ms 2314/3870	P: 0,1112-0,1161-0,3536
188. E1/E2 	103 / 0	6285,1858 ms 2331/3903	P: 0,1112-0,1161-0,3536
189. E1/E2 	101 / 0	6265,9333 ms 2340/3878	P: 0,1112-0,1161-0,3536
190. E1/E2 	103 / 0	6311,6103 ms 2324/3936	P: 0,1112-0,1161-0,3536
191. E1/E2 	98 / 0	6360,2298 ms 2337/3975	P: 0,1112-0,1161-0,3536
192. E1/E2 	116 / 0	6231,2261 ms 2332/3846	P: 0,1112-0,1161-0,3536
193. E1/E2 	149 / 0	6303,2253 ms 2317/3920	P: 0,1112-0,1161-0,3536
194. E1/E2 	124 / 0	6292,6191 ms 2320/3916	P: 0,1112-0,1161-0,3536
195. E1/E2 	125 / 0	6241,8627 ms 2329/3854	P: 0,1112-0,1161-0,3536
196. E1/E2 	73 / 0	6190,1573 ms 2316/3839	P: 0,1112-0,1161-0,3536
197. E1/E2 	95 / 0	6332,0915 ms 2341/3947	P: 0,1112-0,1161-0,3536
198. E1/E2 	94 / 0	6346,7676 ms 2336/3966	P: 0,1112-0,1161-0,3536
199. E1/E2 	89 / 0	6283,5438 ms 2317/3925	P: 0,1112-0,1161-0,3536
200. E1/E2 	78 / 0	6336,6814 ms 2334/3962	P: 0,1112-0,1161-0,3536
201. E1/E2 	125 / 0	6213,2269 ms 2313/3844	P: 0,1112-0,1161-0,3536
202. E1/E2 	111 / 0	6101,1953 ms 2330/3718	P: 0,1112-0,1161-0,3536
203. E1/E2 	75 / 0	6301,5879 ms 2330/3934	P: 0,1112-0,1161-0,3536
204. E1/E2 	111 / 0	6146,6108 ms 2314/3781	P: 0,1112-0,1161-0,3536
205. E1/E2 	80 / 0	6237,0842 ms 2327/3869	P: 0,1112-0,1161-0,3536
206. E1/E2 	61 / 0	6250,3642 ms 2341/3879	P: 0,1112-0,1161-0,3536
207. E1/E2 	86 / 0	6237,4062 ms 2317/3878	P: 0,1112-0,1161-0,3536
208. E1/E2 	111 / 0	6249,0493 ms 2344/3855	P: 0,1112-0,1161-0,3536
209. E1/E2 	85 / 0	6354,3087 ms 2326/3985	P: 0,1112-0,1161-0,3536
210. E1/E2 	84 / 0	6375,5601 ms 2345/3988	P: 0,1112-0,1161-0,3536
211. E1/E2 	91 / 0	6277,0978 ms 2330/3906	P: 0,1112-0,1161-0,3536
212. E1/E2 	113 / 0	6259,0464 ms 2329/3877	P: 0,1112-0,1161-0,3536
213. E1/E2 	72 / 0	6369,6641 ms 2329/4002	P: 0,1112-0,1161-0,3536
214. E1/E2 	72 / 0	6190,2023 ms 2336/3818	P: 0,1112-0,1161-0,3536
215. E1/E2 	91 / 0	6240,4759 ms 2341/3854	P: 0,1112-0,1161-0,3536
216. E1/E2 	68 / 0	6397,0244 ms 2329/4034	P: 0,1112-0,1161-0,3536
217. E1/E2 	75 / 0	6333,8945 ms 2321/3971	P: 0,1112-0,1161-0,3536
218. E1/E2 	75 / 0	6373,4627 ms 2329/4007	P: 0,1112-0,1161-0,3536
219. E1/E2 	84 / 0	6368,6616 ms 2342/3983	P: 0,1112-0,1161-0,3536
220. E1/E2 	123 / 0	6192,8513 ms 2331/3804	P: 0,1112-0,1161-0,3536
221. E1/E2 	80 / 0	6202,5896 ms 2358/3803	P: 0,1112-0,1161-0,3536
222. E1/E2 	59 / 0	6164,1967 ms 2356/3774	P: 0,1112-0,1161-0,3536
223. E1/E2 	86 / 0	6186,0313 ms 2322/3824	P: 0,1112-0,1161-0,3536
224. E1/E2 	86 / 0	6273,6691 ms 2351/3881	P: 0,1112-0,1161-0,3536
225. E1/E2 	104 / 0	6263,5 ms 2324/3889	P: 0,1112-0,1161-0,3536
226. E1/E2 	77 / 0	6261,8746 ms 2350/3872	P: 0,1112-0,1161-0,3536
227. E1/E2 	59 / 0	6329,2533 ms 2339/3959	P: 0,1112-0,1161-0,3536
228. E1/E2 	113 / 0	6276,6394 ms 2327/3897	P: 0,1112-0,1161-0,3536
229. E1/E2 	65 / 0	6420,6432 ms 2345/4042	P: 0,1112-0,1161-0,3536
230. E1/E2 	70 / 0	6232,0869 ms 2313/3885	P: 0,1112-0,1161-0,3536
231. E1/E2 	92 / 0	6361,7391 ms 2324/3991	P: 0,1112-0,1161-0,3536
232. E1/E2 	91 / 0	6228,6581 ms 2320/3866	P: 0,1112-0,1161-0,3536
233. E1/E2 	60 / 0	6308,1563 ms 2335/3941	P: 0,1112-0,1161-0,3536
234. E1/E2 	89 / 0	6205,7098 ms 2311/3850	P: 0,1112-0,1161-0,3536
235. E1/E2 	88 / 0	6317,5078 ms 2334/3943	P: 0,1112-0,1161-0,3536
236. E1/E2 	64 / 0	6381,1226 ms 2351/3997	P: 0,1112-0,1161-0,3536
237. E1/E2 	57 / 0	6298,7723 ms 2319/3947	P: 0,1112-0,1161-0,3536
238. E1/E2 	35 / 0	6202,0726 ms 2327/3852	P: 0,1112-0,1161-0,3536
239. E1/E2 	31 / 0	6237,418 ms 2324/3893	P: 0,1112-0,1161-0,3536
240. E1/E2 	36 / 0	6147,6896 ms 2349/3774	P: 0,1112-0,1161-0,3536
241. E1/E2 	27 / 0	6310,3256 ms 2322/3967	P: 0,1112-0,1161-0,3536
242. E1/E2 	36 / 0	6321,6173 ms 2331/3967	P: 0,1112-0,1161-0,3536
243. E1/E2 	18 / 0	6193,4563 ms 2326/3852	P: 0,1112-0,1161-0,3536
244. E1/E2 	14 / 0	6285,88 ms 2333/3939	P: 0,1112-0,1161-0,3536
245. E1/E2 	56 / 0	6353,4574 ms 2338/3983	P: 0,1112-0,1161-0,3536
246. E1/E2 	12 / 0	6281,6197 ms 2333/3936	P: 0,1112-0,1161-0,3536
247. E1/E2 	3 / 0	6279,7044 ms 2329/3941	P: 0,1112-0,1161-0,3536
248. E1/E2 	12 / 0	6201,6615 ms 2326/3862	P: 0,1112-0,1161-0,3536
249. E1/E2 	30 / 0	6404,931 ms 2352/4032	P: 0,1112-0,1161-0,3536
250. E1/E2 	36 / 0	6173,7855 ms 2325/3827	P: 0,1112-0,1161-0,3536
251. E1/E2 	61 / 0	6281,6796 ms 2324/3926	P: 0,1112-0,1161-0,3536
252. E1/E2 	46 / 0	6189,5815 ms 2335/3827	P: 0,1112-0,1161-0,3536
253. E1/E2 	33 / 0	6345,5828 ms 2379/3945	P: 0,1112-0,1161-0,3536
254. E1/E2 	13 / 0	6263,2761 ms 2338/3911	P: 0,1112-0,1161-0,3536
255. E1/E2 	50 / 0	6260,7067 ms 2313/3920	P: 0,1112-0,1161-0,3536
256. E1/E2 	32 / 0	6288,2323 ms 2337/3930	P: 0,1112-0,1161-0,3536
257. E1/E2 	51 / 0	6265,6745 ms 2336/3901	P: 0,1112-0,1161-0,3536
258. E1/E2 	53 / 0	6195,9751 ms 2323/3843	P: 0,1112-0,1161-0,3536
259. E1/E2 	37 / 0	6241,4353 ms 2356/3859	P: 0,1112-0,1161-0,3536
260. E1/E2 	29 / 0	6173,6229 ms 2359/3794	P: 0,1112-0,1161-0,3536
261. E1/E2 	51 / 0	6275,8823 ms 2352/3894	P: 0,1112-0,1161-0,3536
262. E1/E2 	46 / 0	6272,6737 ms 2349/3897	P: 0,1112-0,1161-0,3536
263. E1/E2 	35 / 0	6206,699 ms 2332/3852	P: 0,1112-0,1161-0,3536
264. E1/E2 	37 / 0	6289,8299 ms 2324/3940	P: 0,1112-0,1161-0,3536
265. E1/E2 	49 / 0	6193,3473 ms 2311/3854	P: 0,1112-0,1161-0,3536
266. E1/E2 	56 / 0	6290,7891 ms 2322/3937	P: 0,1112-0,1161-0,3536
267. E1/E2 	41 / 0	6340,6817 ms 2331/3985	P: 0,1112-0,1161-0,3536
268. E1/E2 	43 / 0	6231,1127 ms 2317/3888	P: 0,1112-0,1161-0,3536
269. E1/E2 	53 / 0	6218,8713 ms 2339/3852	P: 0,1112-0,1161-0,3536
270. E1/E2 	45 / 0	6294,7723 ms 2333/3935	P: 0,1112-0,1161-0,3536
271. E1/E2 	4 / 0	6249,1596 ms 2333/3907	P: 0,1112-0,1161-0,3536
272. E1/E2 	26 / 0	6286,0378 ms 2334/3932	P: 0,1112-0,1161-0,3536
273. E1/E2 	48 / 0	6227,7862 ms 2316/3882	P: 0,1112-0,1161-0,3536
274. E1/E2 	35 / 0	6216,5349 ms 2301/3893	P: 0,1112-0,1161-0,3536
275. E1/E2 	38 / 0	6197,6483 ms 2333/3842	P: 0,1112-0,1161-0,3536
276. E1/E2 	53 / 0	6363,7383 ms 2321/4013	P: 0,1112-0,1161-0,3536
277. E1/E2 	37 / 0	6237,4508 ms 2338/3877	P: 0,1112-0,1161-0,3536
278. E1/E2 	35 / 0	6143,4308 ms 2346/3775	P: 0,1112-0,1161-0,3536
279. E1/E2 	54 / 0	6202,6142 ms 2364/3808	P: 0,1112-0,1161-0,3536
280. E1/E2 	20 / 0	6275,2688 ms 2335/3923	P: 0,1112-0,1161-0,3536
281. E1/E2 	17 / 0	6360,9766 ms 2343/4003	P: 0,1112-0,1161-0,3536
282. E1/E2 	41 / 0	6269,4572 ms 2344/3901	P: 0,1112-0,1161-0,3536
283. E1/E2 	31 / 0	6233,4175 ms 2316/3897	P: 0,1112-0,1161-0,3536
284. E1/E2 	55 / 0	6311,533 ms 2338/3943	P: 0,1112-0,1161-0,3536
285. E1/E2 	28 / 0	6319,3473 ms 2338/3961	P: 0,1112-0,1161-0,3536
286. E1/E2 	28 / 0	6142,5304 ms 2309/3814	P: 0,1112-0,1161-0,3536
287. E1/E2 	2 / 0	6262,645 ms 2324/3929	P: 0,1112-0,1161-0,3536
288. E1/E2 	2 / 0	6250,8708 ms 2320/3922	P: 0,1112-0,1161-0,3536
289. E1/E2 	29 / 0	6139,8881 ms 2307/3813	P: 0,1112-0,1161-0,3536
290. E1/E2 	29 / 0	6293,6409 ms 2351/3922	P: 0,1112-0,1161-0,3536
