470 - 20 - 6497,9459 ms
471 - 42 - 6469,884 ms
472 - 36 - 6481,305 ms
473 - 22 - 6469,9223 ms
474 - 33 - 6465,776 ms
475 - 52 - 6464,5232 ms
476 - 45 - 6476,0961 ms
477 - 33 - 6504,6007 ms
478 - 40 - 6482,1047 ms
479 - 18 - 6466,207 ms
480 - 22 - 6482,9516 ms
481 - 20 - 6501,1171 ms
482 - 26 - 6473,8479 ms
483 - 16 - 6475,9725 ms
484 - 12 - 6497,9218 ms
485 - 6 - 6482,6411 ms
486 - 11 - 6486,5912 ms
487 - 27 - 6478,5364 ms
488 - 9 - 6503,2795 ms
489 - 7 - 6467,3743 ms
490 - 4 - 6476,6029 ms
491 - 1 - 6487,3949 ms
492 - 3 - 6465,5468 ms
493 - 13 - 6463,5692 ms
494 - 13 - 6499,5769 ms
495 - 20 - 6467,2982 ms
496 - 19 - 6498,6932 ms
497 - 31 - 6498,6407 ms
498 - 28 - 6500,2731 ms
499 - 25 - 6469,5185 ms
500 - 21 - 6488,8371 ms
501 - 22 - 6474,9956 ms
502 - 36 - 6475,7627 ms
503 - 39 - 6456,3801 ms
504 - 25 - 6451,5163 ms
505 - 11 - 6464,3615 ms
506 - 21 - 6463,5554 ms
507 - 17 - 6486,0076 ms
508 - 16 - 6465,4046 ms
509 - 30 - 6463,3236 ms
510 - 24 - 6486,1526 ms
511 - 12 - 6480,2052 ms
512 - 6 - 6468,076 ms
513 - 2 - 6500,6506 ms
514 - 4 - 6479,558 ms
515 - 18 - 6483,4958 ms
516 - 4 - 6484,9454 ms
517 - 6 - 6466,4109 ms
518 - 22 - 6498,8646 ms
519 - 26 - 6450,6437 ms
520 - 10 - 6464,4289 ms
521 - 13 - 6477,7924 ms
522 - 33 - 6456,62 ms
523 - 17 - 6449,9247 ms
524 - 11 - 6466,4518 ms
525 - 25 - 6486,8538 ms
526 - 8 - 6461,3335 ms
527 - 8 - 6466,3619 ms
528 - 2 - 6488,716 ms
529 - 0 - 6466,0244 ms
	4128109,8299 ms
