303. E1/E2 	7233 / 566	139415 ms 118669/348 25-0-96	E: 1296 / 613
304. E1/E2 	7089 / 569	140974 ms 118935/343 25-0-95	E: 1997 / 790
305. E1/E2 	7070 / 552	139596 ms 120203/351 24-0-96	E: 2213 / 978
306. E1/E2 	6952 / 525	141690 ms 120481/352 24-0-91	E: 1266 / 620
307. E1/E2 	7073 / 506	140718 ms 119643/343 25-0-85	E: 1850 / 788
308. E1/E2 	7081 / 563	139501 ms 119860/343 25-0-95	E: 1389 / 654
309. E1/E2 	6944 / 531	141196 ms 119277/360 24-0-91	E: 1345 / 642
310. E1/E2 	6991 / 511	137334 ms 117906/341 24-0-87	E: 1627 / 772
311. E1/E2 	6827 / 551	141088 ms 120591/357 24-0-94	E: 1555 / 729
312. E1/E2 	6917 / 523	141084 ms 118916/364 24-0-89	E: 1799 / 724
313. E1/E2 	6978 / 535	138392 ms 119134/352 24-0-90	E: 2215 / 726
314. E1/E2 	6936 / 514	142018 ms 120160/357 25-0-87	E: 1319 / 665
315. E1/E2 	6921 / 525	142191 ms 121059/424 25-0-91	E: 2417 / 1053
316. E1/E2 	6924 / 507	142273 ms 122519/423 25-0-89	E: 1256 / 608
317. E1/E2 	6875 / 516	143919 ms 122428/413 25-0-89	E: 1496 / 695
318. E1/E2 	6747 / 509	141993 ms 120402/384 24-0-89	E: 1200 / 600
319. E1/E2 	6799 / 487	140027 ms 119731/354 24-0-83	E: 1309 / 617
320. E1/E2 	6786 / 518	143183 ms 121462/406 24-0-89	E: 1537 / 676
321. E1/E2 	6847 / 512	141200 ms 121458/398 24-0-90	E: 1546 / 799
