180. E1/E2 	17515 / 2878	39730 ms 27525/448 1331-5088-666	E: 2738 / 1680
181. E1/E2 	17422 / 2849	39746 ms 27069/433 1320-5005-1096	E: 3796 / 2303
182. E1/E2 	17442 / 2866	39100 ms 27299/436 1312-5055-226	E: 3700 / 2323
183. E1/E2 	17529 / 2900	39406 ms 27114/441 1356-5163-658	E: 4564 / 2622
184. E1/E2 	17454 / 2861	39345 ms 27795/452 1252-4933-221	E: 3851 / 2506
185. E1/E2 	17459 / 2780	39586 ms 27214/442 1335-4992-880	E: 2653 / 1632
186. E1/E2 	17376 / 2836	39599 ms 27105/435 1305-4984-1106	E: 3285 / 1983
187. E1/E2 	17468 / 2887	39870 ms 27405/437 1274-5028-1047	E: 4113 / 2224
188. E1/E2 	17426 / 2840	39344 ms 27383/442 1319-5031-449	E: 3406 / 2247
189. E1/E2 	17487 / 2899	38659 ms 27114/435 1322-5125-1	E: 3228 / 1852
190. E1/E2 	17310 / 2806	39675 ms 27131/435 1339-5016-1101	E: 2803 / 1598
191. E1/E2 	17266 / 2803	40419 ms 27265/445 1306-4939-1767	E: 3483 / 1919
192. E1/E2 	17432 / 2827	39209 ms 27134/441 1328-5009-656	E: 2709 / 1771
193. E1/E2 	17411 / 2792	38962 ms 27119/438 1343-4990-442	E: 2702 / 1776
194. E1/E2 	17314 / 2782	39523 ms 27062/438 1316-4945-1098	E: 2826 / 1842
195. E1/E2 	17221 / 2753	39267 ms 27119/439 1319-4904-861	E: 3453 / 1839
196. E1/E2 	17233 / 2697	38685 ms 27021/431 1310-4778-442	E: 2904 / 1810
197. E1/E2 	17125 / 2833	39676 ms 27104/437 1311-5020-1083	E: 2865 / 1853
198. E1/E2 	17157 / 2708	39100 ms 26958/439 1332-4844-878	E: 3004 / 1687
199. E1/E2 	17160 / 2791	38586 ms 26969/439 1316-4994-225	E: 2927 / 1807
200. E1/E2 	17221 / 2802	38847 ms 27107/444 1327-5013-221	E: 3119 / 1967
