	AN: 154	R: 4096/237	P: 0,4897-0,5998-0,6553
172. E1/E2 	134 / 3	39,2532 ms 
	AN: 154	R: 4096/236	P: 0,4941-0,6005-0,6519
173. E1/E2 	114 / 7	33,8852 ms 
	AN: 153	R: 4096/235	P: 0,4844-0,5990-0,6519
174. E1/E2 	106 / 4	41,0194 ms 
	AN: 153	R: 4096/233	P: 0,4985-0,5685-0,6519
175. E1/E2 	110 / 6	33,3759 ms 
	AN: 152	R: 4096/239	P: 0,4990-0,5911-0,6567
176. E1/E2 	113 / 3	35,8834 ms 
	AN: 152	R: 4096/237	P: 0,4995-0,5989-0,6665
177. E1/E2 	109 / 5	38,4314 ms 
	AN: 152	R: 4096/238	P: 0,4995-0,5984-0,6553
178. E1/E2 	108 / 5	35,7201 ms 
	AN: 152	R: 4096/235	P: 0,4932-0,5997-0,6562
179. E1/E2 	102 / 1	33,1561 ms 
180. E1/E2 	115 / 6	40,6341 ms 
	AN: 152	R: 4096/239	P: 0,4395-0,5977-0,6636
181. E1/E2 	100 / 4	39,559 ms 
	AN: 152	R: 4096/235	P: 0,4766-0,6012-0,6519
182. E1/E2 	92 / 3	39,249 ms 
	AN: 153	R: 4096/235	P: 0,4614-0,6006-0,6519
183. E1/E2 	102 / 6	33,5858 ms 
	AN: 153	R: 4096/240	P: 0,4692-0,5987-0,6519
184. E1/E2 	105 / 2	34,5727 ms 
	AN: 153	R: 4096/234	P: 0,4995-0,6006-0,6519
185. E1/E2 	104 / 3	37,9584 ms 
	AN: 153	R: 4096/234	P: 0,4995-0,6013-0,6519
186. E1/E2 	86 / 2	41,0714 ms 
	AN: 153	R: 4096/231	P: 0,4980-0,6011-0,6519
187. E1/E2 	81 / 2	39,0355 ms 
	AN: 153	R: 4096/233	P: 0,4946-0,6004-0,6519
188. E1/E2 	124 / 7	41,0182 ms 
	AN: 153	R: 4096/237	P: 0,4585-0,5928-0,6519
189. E1/E2 	124 / 8	40,4185 ms 
	AN: 153	R: 4096/239	P: 0,4951-0,5954-0,6519
190. E1/E2 	119 / 7	45,9219 ms 
	AN: 153	R: 4096/239	P: 0,4741-0,5993-0,6519
191. E1/E2 	116 / 5	40,738 ms 
	AN: 153	R: 4096/238	P: 0,4854-0,5988-0,6519
192. E1/E2 	140 / 18	40,5542 ms 
	AN: 153	R: 4096/242	P: 0,4780-0,5657-0,6284
193. E1/E2 	215 / 20	40,8068 ms 
	AN: 153	R: 4096/243	P: 0,4785-0,5585-0,6387
194. E1/E2 	188 / 22	41,7662 ms 
	AN: 153	R: 4096/244	P: 0,4717-0,5402-0,5923
195. E1/E2 	162 / 16	43,6242 ms 
	AN: 153	R: 4096/242	P: 0,4688-0,5722-0,6338
196. E1/E2 	146 / 13	41,6122 ms 
	AN: 153	R: 4096/242	P: 0,4961-0,5806-0,6494
197. E1/E2 	501 / 98	54,3027 ms 
	AN: 154	R: 4096/246	P: 0,4849-0,5121-0,5425
198. E1/E2 	296 / 41	54,6539 ms 
	AN: 153	R: 4096/245	P: 0,4814-0,5351-0,5791
199. E1/E2 	329 / 47	51,4136 ms 
	AN: 156	R: 4096/245	P: 0,4878-0,5268-0,5703
200. E1/E2 	518 / 122	54,5106 ms 
	AN: 156	R: 4096/246	P: 0,4878-0,5117-0,5381
201. E1/E2 	644 / 164	74,3916 ms 
	AN: 157	R: 4096/247	P: 0,4873-0,5050-0,5215
202. E1/E2 	675 / 182	66,7413 ms 
	AN: 159	R: 4096/248	P: 0,4941-0,5057-0,5215
203. E1/E2 	522 / 112	56,5856 ms 
	AN: 157	R: 4096/248	P: 0,4878-0,5117-0,5308
204. E1/E2 	360 / 74	53,2616 ms 
	AN: 158	R: 4096/249	P: 0,4790-0,5119-0,5400
205. E1/E2 	277 / 49	46,2787 ms 
	AN: 158	R: 4096/248	P: 0,4756-0,5243-0,5562
206. E1/E2 	296 / 47	43,8537 ms 
	AN: 161	R: 4096/248	P: 0,4736-0,5301-0,5767
207. E1/E2 	340 / 55	46,7454 ms 
	AN: 161	R: 4096/248	P: 0,4839-0,5451-0,6030
208. E1/E2 	444 / 95	56,9834 ms 
	AN: 161	R: 4096/249	P: 0,4824-0,5351-0,6104
209. E1/E2 	593 / 192	71,9604 ms 
	AN: 159	R: 4096/250	P: 0,4961-0,5576-0,6323
210. E1/E2 	499 / 141	58,4094 ms 
	AN: 163	R: 4096/250	P: 0,4946-0,5487-0,6284
211. E1/E2 	377 / 82	52,5993 ms 
	AN: 163	R: 4096/251	P: 0,4902-0,5511-0,6328
212. E1/E2 	351 / 58	51,8598 ms 
	AN: 163	R: 4096/251	P: 0,4888-0,5532-0,6323
213. E1/E2 	358 / 75	49,231 ms 
	AN: 164	R: 4096/251	P: 0,4805-0,5223-0,5532
214. E1/E2 	384 / 71	51,8027 ms 
	AN: 162	R: 4096/251	P: 0,4897-0,5220-0,5571
215. E1/E2 	306 / 52	45,7513 ms 
	AN: 163	R: 4096/250	P: 0,4912-0,5279-0,5615
216. E1/E2 	306 / 47	44,6321 ms 
	AN: 163	R: 4096/250	P: 0,4976-0,5284-0,5708
217. E1/E2 	377 / 79	43,8512 ms 
	AN: 164	R: 4096/251	P: 0,4839-0,5502-0,6143
218. E1/E2 	471 / 114	47,8966 ms 
	AN: 165	R: 4096/252	P: 0,4839-0,5098-0,5288
219. E1/E2 	366 / 69	42,9591 ms 
	AN: 165	R: 4096/252	P: 0,4868-0,5122-0,5459
220. E1/E2 	359 / 60	40,5089 ms 
	AN: 165	R: 4096/253	P: 0,4839-0,5254-0,5645
221. E1/E2 	241 / 23	38,0313 ms 
	AN: 166	R: 4096/250	P: 0,4912-0,5809-0,6758
222. E1/E2 	177 / 11	36,1034 ms 
	AN: 166	R: 4096/248	P: 0,4907-0,5677-0,6851
223. E1/E2 	149 / 11	39,6604 ms 
	AN: 166	R: 4096/248	P: 0,4995-0,5991-0,6519
224. E1/E2 	115 / 6	35,4179 ms 
	AN: 166	R: 4096/246	P: 0,4995-0,5997-0,6519
225. E1/E2 	87 / 6	36,1442 ms 
	AN: 166	R: 4096/242	P: 0,4995-0,6004-0,6519
226. E1/E2 	76 / 3	34,5564 ms 
	AN: 166	R: 4096/243	P: 0,4995-0,6013-0,6519
227. E1/E2 	61 / 3	38,3819 ms 
	AN: 166	R: 4096/241	P: 0,4995-0,6013-0,6519
228. E1/E2 	61 / 3	35,424 ms 
	AN: 166	R: 4096/244	P: 0,4995-0,6028-0,6709
229. E1/E2 	42 / 2	37,0883 ms 
	AN: 166	R: 4096/242	P: 0,4995-0,6048-0,6758
230. E1/E2 	54 / 2	33,5752 ms 
	AN: 166	R: 4096/241	P: 0,4995-0,6042-0,6655
231. E1/E2 	53 / 1	33,6754 ms 
232. E1/E2 	39 / 2	34,6723 ms 
	AN: 166	R: 4096/241	P: 0,4995-0,6021-0,6567
233. E1/E2 	57 / 2	35,2009 ms 
	AN: 166	R: 4096/236	P: 0,4995-0,6014-0,6519
234. E1/E2 	42 / 3	33,4256 ms 
	AN: 166	R: 4096/238	P: 0,4995-0,6028-0,6880
235. E1/E2 	40 / 0	33,7516 ms 
236. E1/E2 	32 / 1	33,3676 ms 
237. E1/E2 	29 / 1	34,2609 ms 
238. E1/E2 	28 / 2	35,1259 ms 
	AN: 166	R: 4096/239	P: 0,4995-0,6013-0,6519
239. E1/E2 	39 / 2	38,0873 ms 
	AN: 166	R: 4096/238	P: 0,4995-0,6013-0,6519
240. E1/E2 	18 / 0	35,4455 ms 
241. E1/E2 	21 / 0	33,9912 ms 
242. E1/E2 	35 / 0	32,7935 ms 
243. E1/E2 	13 / 1	40,6109 ms 
244. E1/E2 	26 / 0	33,3028 ms 
245. E1/E2 	28 / 0	33,9047 ms 
246. E1/E2 	16 / 1	36,3826 ms 
247. E1/E2 	24 / 0	31,6715 ms 
248. E1/E2 	25 / 1	34,0677 ms 
249. E1/E2 	23 / 1	37,4062 ms 
250. E1/E2 	14 / 1	33,9713 ms 
251. E1/E2 	14 / 0	33,495 ms 
252. E1/E2 	17 / 1	34,8661 ms 
253. E1/E2 	30 / 1	33,9495 ms 
254. E1/E2 	27 / 0	34,1483 ms 
255. E1/E2 	19 / 0	38,0236 ms 
256. E1/E2 	10 / 1	31,5841 ms 
257. E1/E2 	18 / 0	33,2784 ms 
258. E1/E2 	11 / 1	35,1874 ms 
259. E1/E2 	12 / 0	33,8846 ms 
260. E1/E2 	9 / 0	33,3303 ms 
261. E1/E2 	15 / 0	35,9049 ms 
262. E1/E2 	17 / 1	34,509 ms 
263. E1/E2 	13 / 0	34,4796 ms 
264. E1/E2 	9 / 0	35,428 ms 
265. E1/E2 	9 / 1	32,1811 ms 
266. E1/E2 	6 / 0	33,9001 ms 
267. E1/E2 	19 / 0	39,4489 ms 
268. E1/E2 	17 / 0	35,7861 ms 
269. E1/E2 	9 / 1	32,2889 ms 
270. E1/E2 	14 / 1	35,7503 ms 
271. E1/E2 	8 / 0	33,7621 ms 
272. E1/E2 	9 / 0	33,5797 ms 
273. E1/E2 	9 / 0	39,065 ms 
274. E1/E2 	9 / 0	33,3324 ms 
275. E1/E2 	15 / 0	34,4376 ms 
276. E1/E2 	8 / 0	39,0813 ms 
277. E1/E2 	7 / 1	34,6344 ms 
278. E1/E2 	18 / 1	32,1923 ms 
279. E1/E2 	9 / 0	36,5923 ms 
