202. E1/E2 	93 / 5	25,7059 ms 14/10	P: 0,5000-0,6405-1,0000
203. E1/E2 	82 / 5	24,4601 ms 12/11	P: 0,5000-0,6410-1,0000
204. E1/E2 	127 / 12	25,8742 ms 13/10	P: 0,5000-0,6379-1,0000
205. E1/E2 	99 / 5	25,1014 ms 13/10	P: 0,5000-0,6418-1,0000
206. E1/E2 	84 / 2	24,2604 ms 13/10	P: 0,5000-0,6418-1,0000
207. E1/E2 	93 / 5	25,6559 ms 13/11	P: 0,5000-0,6418-1,0000
208. E1/E2 	79 / 4	29,0143 ms 15/12	P: 0,5000-0,6422-1,0000
209. E1/E2 	90 / 4	24,5172 ms 13/10	P: 0,5000-0,6422-1,0000
210. E1/E2 	96 / 6	23,638 ms 12/10	P: 0,5000-0,6423-1,0000
211. E1/E2 	215 / 33	28,5964 ms 13/10	P: 0,5000-0,6407-1,0000
212. E1/E2 	271 / 42	30,1098 ms 13/10	P: 0,5000-0,6398-1,0000
213. E1/E2 	267 / 45	29,1537 ms 12/10	P: 0,5000-0,6418-1,0000
214. E1/E2 	413 / 80	34,2094 ms 13/10	P: 0,5000-0,6389-1,0000
215. E1/E2 	1252 / 614	99,441 ms 14/10	P: 0,5000-0,6152-1,0000
216. E1/E2 	1033 / 364	70,668 ms 12/11	P: 0,5000-0,6129-1,0000
217. E1/E2 	651 / 123	43,4413 ms 13/12	P: 0,5000-0,6291-1,0000
218. E1/E2 	358 / 38	32,9164 ms 14/12	P: 0,5000-0,6361-1,0000
219. E1/E2 	286 / 24	31,5514 ms 14/12	P: 0,5000-0,6314-1,0000
220. E1/E2 	234 / 13	27,8387 ms 13/11	P: 0,5000-0,6349-1,0000
221. E1/E2 	183 / 9	28,0004 ms 14/12	P: 0,5000-0,6341-1,0000
222. E1/E2 	160 / 5	26,063 ms 13/11	P: 0,5000-0,6338-1,0000
223. E1/E2 	123 / 1	27,1067 ms 14/12	P: 0,5000-0,6337-1,0000
224. E1/E2 	109 / 4	26,1549 ms 13/11	P: 0,5000-0,6337-1,0000
225. E1/E2 	119 / 3	27,8058 ms 14/12	P: 0,5000-0,6337-1,0000
226. E1/E2 	89 / 6	26,6571 ms 14/11	P: 0,5000-0,6339-1,0000
227. E1/E2 	88 / 2	26,6739 ms 13/12	P: 0,5000-0,6342-1,0000
228. E1/E2 	81 / 5	28,7357 ms 15/12	P: 0,5000-0,6342-1,0000
229. E1/E2 	76 / 1	25,8533 ms 13/11	P: 0,5000-0,6342-1,0000
230. E1/E2 	54 / 1	27,0783 ms 14/12	P: 0,5000-0,6342-1,0000
231. E1/E2 	83 / 2	26,408 ms 14/11	P: 0,5000-0,6342-1,0000
232. E1/E2 	60 / 2	24,9826 ms 13/11	P: 0,5000-0,6342-1,0000
233. E1/E2 	63 / 1	25,2278 ms 13/11	P: 0,5000-0,6342-1,0000
234. E1/E2 	53 / 2	25,2744 ms 13/11	P: 0,5000-0,6342-1,0000
235. E1/E2 	56 / 0	25,372 ms 13/11	P: 0,5000-0,6342-1,0000
236. E1/E2 	74 / 0	25,9745 ms 14/11	P: 0,5000-0,6342-1,0000
237. E1/E2 	53 / 1	24,4026 ms 12/11	P: 0,5000-0,6342-1,0000
238. E1/E2 	53 / 0	25,7705 ms 14/11	P: 0,5000-0,6342-1,0000
239. E1/E2 	63 / 1	25,4276 ms 13/12	P: 0,5000-0,6342-1,0000
240. E1/E2 	64 / 1	25,7804 ms 13/11	P: 0,5000-0,6342-1,0000
241. E1/E2 	42 / 2	27,0447 ms 14/12	P: 0,5000-0,6342-1,0000
242. E1/E2 	40 / 0	25,9639 ms 13/12	P: 0,5000-0,6342-1,0000
243. E1/E2 	46 / 1	26,7273 ms 14/12	P: 0,5000-0,6342-1,0000
244. E1/E2 	45 / 1	25,4656 ms 13/11	P: 0,5000-0,6342-1,0000
245. E1/E2 	40 / 1	25,4154 ms 13/12	P: 0,5000-0,6342-1,0000
246. E1/E2 	43 / 0	33,7719 ms 20/13	P: 0,5000-0,6342-1,0000
247. E1/E2 	43 / 0	25,6547 ms 13/12	P: 0,5000-0,6342-1,0000
248. E1/E2 	51 / 2	28,5049 ms 16/12	P: 0,5000-0,6342-1,0000
249. E1/E2 	59 / 0	28,5717 ms 15/12	P: 0,5000-0,6342-1,0000
250. E1/E2 	42 / 1	27,0679 ms 14/12	P: 0,5000-0,6341-1,0000
251. E1/E2 	36 / 0	27,7565 ms 15/12	P: 0,5000-0,6341-1,0000
252. E1/E2 	32 / 0	26,448 ms 14/12	P: 0,5000-0,6341-1,0000
253. E1/E2 	47 / 1	26,8598 ms 14/12	P: 0,5000-0,6341-1,0000
254. E1/E2 	32 / 1	26,5635 ms 14/11	P: 0,5000-0,6341-1,0000
255. E1/E2 	37 / 1	34,9597 ms 19/14	P: 0,5000-0,6341-1,0000
256. E1/E2 	41 / 1	27,455 ms 15/12	P: 0,5000-0,6341-1,0000
257. E1/E2 	29 / 0	25,4979 ms 13/12	P: 0,5000-0,6341-1,0000
258. E1/E2 	32 / 1	26,5809 ms 14/12	P: 0,5000-0,6341-1,0000
259. E1/E2 	37 / 0	26,7391 ms 14/12	P: 0,5000-0,6341-1,0000
260. E1/E2 	38 / 1	26,1535 ms 14/11	P: 0,5000-0,6341-1,0000
261. E1/E2 	33 / 1	25,2 ms 13/11	P: 0,5000-0,6341-1,0000
262. E1/E2 	33 / 0	26,4093 ms 14/12	P: 0,5000-0,6341-1,0000
263. E1/E2 	37 / 1	26,7504 ms 14/12	P: 0,5000-0,6341-1,0000
264. E1/E2 	27 / 0	27,2276 ms 15/12	P: 0,5000-0,6341-1,0000
265. E1/E2 	36 / 0	24,4871 ms 12/11	P: 0,5000-0,6341-1,0000
266. E1/E2 	33 / 0	26,263 ms 14/11	P: 0,5000-0,6341-1,0000
267. E1/E2 	26 / 0	24,4826 ms 13/11	P: 0,5000-0,6341-1,0000
268. E1/E2 	28 / 0	26,9016 ms 14/12	P: 0,5000-0,6341-1,0000
269. E1/E2 	26 / 0	25,8143 ms 14/11	P: 0,5000-0,6341-1,0000
270. E1/E2 	33 / 1	24,5065 ms 12/11	P: 0,5000-0,6341-1,0000
271. E1/E2 	48 / 0	25,9518 ms 14/11	P: 0,5000-0,6341-1,0000
272. E1/E2 	31 / 0	24,1207 ms 12/11	P: 0,5000-0,6341-1,0000
273. E1/E2 	26 / 0	25,8792 ms 14/11	P: 0,5000-0,6341-1,0000
274. E1/E2 	33 / 1	27,8808 ms 15/12	P: 0,5000-0,6341-1,0000
275. E1/E2 	28 / 1	25,0479 ms 13/11	P: 0,5000-0,6341-1,0000
276. E1/E2 	32 / 1	25,7937 ms 13/12	P: 0,5000-0,6341-1,0000
277. E1/E2 	31 / 1	27,8702 ms 15/12	P: 0,5000-0,6341-1,0000
278. E1/E2 	34 / 1	25,6542 ms 13/12	P: 0,5000-0,6341-1,0000
279. E1/E2 	39 / 1	25,9103 ms 14/11	P: 0,5000-0,6341-1,0000
280. E1/E2 	36 / 1	26,4266 ms 13/12	P: 0,5000-0,6341-1,0000
281. E1/E2 	28 / 1	26,1113 ms 14/12	P: 0,5000-0,6341-1,0000
282. E1/E2 	26 / 1	25,9519 ms 13/12	P: 0,5000-0,6341-1,0000
283. E1/E2 	33 / 1	25,1348 ms 13/11	P: 0,5000-0,6341-1,0000
284. E1/E2 	30 / 1	26,1617 ms 14/12	P: 0,5000-0,6341-1,0000
285. E1/E2 	22 / 1	25,1279 ms 13/11	P: 0,5000-0,6341-1,0000
286. E1/E2 	38 / 0	26,1253 ms 14/12	P: 0,5000-0,6341-1,0000
287. E1/E2 	26 / 0	24,5126 ms 12/12	P: 0,5000-0,6341-1,0000
288. E1/E2 	24 / 0	25,443 ms 13/11	P: 0,5000-0,6341-1,0000
289. E1/E2 	26 / 0	25,7594 ms 14/11	P: 0,5000-0,6341-1,0000
290. E1/E2 	25 / 0	24,7487 ms 12/11	P: 0,5000-0,6341-1,0000
291. E1/E2 	25 / 1	26,1583 ms 14/11	P: 0,5000-0,6341-1,0000
292. E1/E2 	21 / 0	26,2904 ms 14/11	P: 0,5000-0,6341-1,0000
293. E1/E2 	26 / 1	25,8874 ms 13/12	P: 0,5000-0,6341-1,0000
294. E1/E2 	22 / 1	26,0833 ms 14/12	P: 0,5000-0,6341-1,0000
295. E1/E2 	20 / 0	24,6786 ms 13/11	P: 0,5000-0,6341-1,0000
296. E1/E2 	11 / 1	25,4964 ms 12/13	P: 0,5000-0,6341-1,0000
297. E1/E2 	29 / 0	26,8593 ms 15/11	P: 0,5000-0,6341-1,0000
298. E1/E2 	26 / 0	24,4695 ms 13/11	P: 0,5000-0,6341-1,0000
299. E1/E2 	24 / 0	25,3493 ms 13/11	P: 0,5000-0,6341-1,0000
300. E1/E2 	21 / 0	23,7436 ms 12/11	P: 0,5000-0,6341-1,0000
301. E1/E2 	15 / 1	26,5387 ms 14/11	P: 0,5000-0,6341-1,0000
302. E1/E2 	28 / 1	25,6113 ms 13/11	P: 0,5000-0,6341-1,0000
303. E1/E2 	18 / 0	24,5165 ms 13/11	P: 0,5000-0,6341-1,0000
304. E1/E2 	29 / 0	25,5977 ms 14/11	P: 0,5000-0,6341-1,0000
305. E1/E2 	25 / 1	27,0629 ms 15/11	P: 0,5000-0,6344-1,0000
306. E1/E2 	17 / 1	25,2574 ms 13/12	P: 0,5000-0,6340-1,0000
307. E1/E2 	26 / 1	25,8969 ms 14/11	P: 0,5000-0,6340-1,0000
308. E1/E2 	30 / 0	24,9303 ms 13/11	P: 0,5000-0,6340-1,0000
309. E1/E2 	30 / 1	25,5033 ms 13/11	P: 0,5000-0,6340-1,0000
310. E1/E2 	17 / 0	26,1532 ms 14/11	P: 0,5000-0,6340-1,0000
